id,food_name,url,raw_ingredients
15,두부김치,https://www.10000recipe.com/recipe/6872475?srsltid=AfmBOop0q53l79H87i-zK7GE4dMy0tbRKOvrPScz5zoGk1GbodhRgCNQ,[재료] 두부 1모 구매 김치 1공기 구매 소금 1/2티스푼 구매 통깨 약간 구매 [김치양념] 설탕 1/2큰술 구매 다진마늘 1/2큰술 구매 고춧가루 1큰술 구매 참기름 1큰술 구매
16,매운갈비찜,https://www.10000recipe.com/recipe/6843725?srsltid=AfmBOoopM0Si_imHPLUzR5mcCwe4RENKQpMi7soRB3SK_9HFeIyPNbMh,[재료] 돼지갈비 1kg 구매 감자 구매 당근 구매 양파 구매 대파 구매 청양고추 구매 [양념장] 고추장 3스푼 구매 고춧가루 4.5스푼 구매 간장 6스푼 구매 다진마늘 3스푼 구매 설탕 1스푼 구매 굴소스 1.5스푼 구매 매실액 1스푼 구매 맛술 2스푼 구매 후추 톡톡 구매 양파 1/4개 구매 청양고추 구매
17,치킨만들기,https://www.10000recipe.com/recipe/6946141?srsltid=AfmBOoqkyiVTcZq-xI92I3sfg9aVJpemDzj-RK0oKtR6SYil7j4Gs0gW,[염지] 닭 1.2kg 구매 소금 2ts 구매 설탕 2ts 구매 생강가루 1ts 구매 마늘가루 1ts 구매 후추 1ts 구매 MSG 1ts 구매 우유 500ml 구매 [치킨파우더] 박력분 1kg 구매 옥수수전분 10~12TS 구매 소금 4ts 구매 MSG 2ts 구매 파프리카가루 2ts 구매 넛맥 가루 2ts 구매 양파가루 4ts 구매 마늘가루 6ts 구매 후추가루 2ts 구매 베이킹파우더 2ts 구매 설탕 2ts 구매 [튀김] 튀김용 올리브오일 500ml 구매 기름 1l 구매
18,양념치킨,https://www.10000recipe.com/recipe/6905533?srsltid=AfmBOooWEI0CCnPK3DdQXda0_8C1h4BUd6dZMqxf10epD3by-XvdYeLC,[재료] 물엿 4큰술 구매 다진 마늘 2큰술 구매 케찹 2큰술 구매 설탕 2큰술 구매 고추장 1큰술 구매 고춧가루 1큰술 구매 물 1큰술 구매 간장 1큰술 구매
19,김치전,https://www.10000recipe.com/recipe/6911743?srsltid=AfmBOoqS6guH9ATFUXL0KFap_hvXbz5GtdTx34eQME314ZjJuqzwrUZD,[재료] 김치 2컵 구매 부침가루 1컵 구매 김치국물 1/3컵 구매 물 2/3컵 구매 다진마늘 1/2스푼 구매
20,해물파전,https://www.10000recipe.com/recipe/6879050?srsltid=AfmBOor9jHXLj4J2igq1HkR-dpcncynpbHYSNE04HrdFW-Cl1QfpvmwJ,[재료] 밀가루 또는 부침가루 1공기 구매 물 1공기 구매 간장 1숟갈 구매 쪽파 500원 동전크기 또는 부추 구매 오징어 1마리 구매 식용유 넉넉히 구매
21,감자전,https://www.10000recipe.com/recipe/6864128?srsltid=AfmBOorJHC8Yz9ruLM2IwttTQVAJ5LcpTGRpOA60xhf1OpFfT4jwHIT9,[주재료] 감자 작은거 6개 구매 식용유 약간 구매 홍고추 1개 구매 소금 약간 구매
22,소고기육전,https://www.10000recipe.com/recipe/6876644?srsltid=AfmBOop3VSGRkJOkyfO-mOiwgKJwPBxjrJIpY6iMNT_zzEIbiSVmJKmu,[재료] 채끝살 500g 구매 간장 2Ts 구매 생강즙 1ts 구매 다진마늘 0.5Ts 구매 조청 0.7Ts 구매 참기름 약간 구매 후추 약간 구매 찹쌀가루 1.5컵 구매 달걀 2개 구매
23,탕수육,https://www.10000recipe.com/recipe/6866136?srsltid=AfmBOordsJFtzOcpIK2wHwLuHbTlc2S-i0rZjmelOVVAbJVKIL6aJZUt,[탕수육 소스] 물 600ml 구매 간장 100ml 구매 식초 90ml 구매 설탕 14T 구매 당근 구매 오이 구매 양파 구매 파프리카 구매 [재료] 돼지고기 안심 2근 구매 전분가루 고구마전분 : 옥수수전분 = 7:3 20T 구매 식용유 10T 구매
24,고기만두,https://www.10000recipe.com/recipe/6877320?srsltid=AfmBOoqRgZxoFWAGyMtagmpJ84UxQdkwYlZucpgVOu8sUO9THGmXkUID,[재료] 돼지고기 간 거 500g 구매 당면 1줌 구매 부추 1줌 구매 두부 1모 구매 양파 1/2개 구매 대파 1개 구매 숙주나물 300g 구매 김치 1/3쪽 구매 [고기양념] 설탕 1큰술 구매 간장 3큰술 구매 굴소스 1큰술 구매 청주 1큰술 구매 생강 약간 구매 후추 약간 구매 마늘 3알 구매
25,아구찜,https://www.10000recipe.com/recipe/6655115?srsltid=AfmBOopdjrhW73efA3xH7dGpzZtKlxEWAYzIQV9Q1GrQiw_kpv7DgRRK,[재료] 아구 1kg 구매 주꾸미 4마리 구매 일자 콩나물 찜용콩나물 500g 구매 미나리 2줌 구매 대파 2줌 구매 미더덕 1.5줌 구매 다시마물 1/2컵 구매 참기름 1.5큰술 구매 통깨 약간 구매 녹말물 5큰술 구매 [양념장] 고춧가루 10큰술 구매 설탕 2큰술 구매 마늘 2큰술 구매 생강 1작은술 구매 소금 1/2큰술 구매 간장 1큰술 구매
26,낙지볶음,https://www.10000recipe.com/recipe/6857475?srsltid=AfmBOopvhK3mHyLXVsOhTjvxI5DHEFwrT3NrtB_1H6Tya5LiGJcpAsJO,[재료] 낙지 2마리 구매 밀가루 조금 구매 배추 속대 4장 구매 양파 1개 구매 대파 1뿌리 구매 볶음참깨 약간 구매 국수(중면) 1줌 구매 [낙지볶음 양념] 고춧가루 2큰술 구매 고추장 1큰술 구매 멸치 액젓 2큰술 구매 미림 1큰술 구매 올리고당 1큰술 구매 설탕 1/2큰술 구매 굴소스 1/2큰술 구매 다진 마늘 1큰술 구매
27,간장게장,https://www.10000recipe.com/recipe/6846268?srsltid=AfmBOorVc1rIkiGi_YmjlvgQWfZd3JT3hOryAXqhklWFnMea28aXoPN4,[재료] 블루크랩 원하는만큼 구매 [간장양념비율] 간장 3종이컵 구매 소주 1컵 구매 사이다 1컵 구매 설탕 1.5컵 구매 생강 마늘크기 6톨 구매 마늘 6알 구매 매운고추 3개 구매 빨간고추 2개 구매 다시마 약간 구매
28,해물탕,https://www.10000recipe.com/recipe/6936270?srsltid=AfmBOopidKeQCmqCP1WbR17UoQ1MmDcTvxW8VNJjbQcGz6FCmFxDFRsD,[해산물] 명란 7~8개 구매 오만둥이 1줌 구매 바지락 1주먹 구매 낙지 1마리 구매 꽃게 1마리 구매 새우 5마리 구매 [야채] 콩나물 1/2봉지 구매 무 1/3 구매 대파 1대 구매 청양고추 2개 구매 마늘 1T 구매 양파 1개 구매 부추 조금 구매 [양념] 새우젓 2T 구매 고추가루 3T 구매 맛술 2T 구매 된장크게 1T 구매 후추 톡톡 구매
29,골뱅이무침,https://www.10000recipe.com/recipe/6830356?srsltid=AfmBOopFguSg0P-qFOjE1XMRjkfhHf7vKO45KzHr_x-LoOrNeCNCHPAC,[재료] 골뱅이 구매 대파 1대 구매 양파 1/2개 구매 오이 구매 당근 구매 파프리카 구매 [양념] 고춧가루 4스푼 구매 고추장 2스푼 구매 간장 1스푼 구매 매실액 2스푼 구매 황설탕 1스푼 구매 식초 2스푼 구매 마늘 1스푼 구매 올리고당 1스푼 구매 참기름 1스푼 구매
30,간장새우장,https://www.10000recipe.com/recipe/1604199?srsltid=AfmBOorC3MgAa6E5r3HEXRVG80FrU8Kvm1ihNRjPxIEAp440gos8CzdZ,[재료] 새우 50~60마리 정도 1kg 구매 양파 중 1개 구매 풋고추 6개 구매 마늘 5톨 구매 [새우간장물] 간장 2컵 구매 물 3컵 구매 청주 1/2컵 구매 맛술 1/2컵 구매 설탕 3스푼 구매 생강 2톨 구매 마른고추 1개 구매 통후추 1/2스푼 구매 레몬 1/2개 구매
31,오뎅탕,https://www.10000recipe.com/recipe/4323582?srsltid=AfmBOoqDdjguAZxl-IAis63vlolynN5hnfDJ8jor2e5nOeGkfGpaVrXV,[재료] 오뎅 20개 구매 멸치 12마리 구매 대파 큰거 1뿌리 구매 무우 4토막 구매 양파 1개 구매 표고버섯 3개 구매 새우 5마리 구매 다시다 1장 구매 [양념] 굵은소금 구매 집간장 구매 쇠고기다시다 선택 구매
32,비빔밥,https://www.10000recipe.com/recipe/6839413?srsltid=AfmBOordPVUPRj8fXAvZgKtSF_jZ1ZOJnRdzCxMB3MN_seGXtOU8NfgH,[재료] 돼지고기 100g 구매 애호박 1/5개 구매 양파 1/2개 구매 당근 1/3개 구매 [양념] 고추장 2T 구매 간장 2T 구매 설탕 1.5T 구매 깨소금 1T 구매 참기름 1T 구매 식초 1T 구매
33,김밥,https://www.10000recipe.com/recipe/7051993?srsltid=AfmBOorm69IRNfXyjmWtl5IeCfxiz6NGH__P0teaV_yT5OEnGDPvNWiX,[재료] 밥 4인분 구매 시금치 400g 구매 단무지 8줄 구매 우엉 8줄 구매 오이지 8줄 구매 계란 4개 구매 전분가루 1T 구매 물 2T 구매 당근 300g 구매 어묵 3개 구매 진간장 1/2T 구매 굴소스 1/2T 구매 물 2T 구매 미림 1T 구매 슬라이스햄 잠봉 슬라이스햄 구매
34,잡채,https://www.10000recipe.com/recipe/7017183?srsltid=AfmBOoo3lpb5ccDp7F4ZPx0adIRGIdsnqYEKjoSK3G67eTzxgC8Et_wN,[재료] 당면 200g 구매 소고기 잡채용 150g 구매 양파 1/3개 구매 당근 1/2개 구매 시금치 1단 구매 느타리버섯 넉넉히 1줌 구매 소금 약간 구매 참기름 약간 구매 통깨 약간 구매 [*소고기 밑간] 진간장 1숟가락 구매 맛술 1숟가락 구매 다진 마늘 1/2숟가락 구매 참기름 1숟가락 구매 후추 톡톡 구매 [*당면 양념] 진간장 60ml 구매 물엿 120ml 구매 식용유 3숟가락 구매
35,짜장면,https://www.10000recipe.com/recipe/6838655?srsltid=AfmBOorVEygvMa6jCpsXTjGDLSTnBvFoAQ8hQm-g1VRDjGuGmuAFK2WI,[재료] 양파 1개 구매 양배추 1/5개 구매 돼지고기 200g 구매 오이 1/3개 구매 파 2줄기 구매 파스타면 2인분 구매 [양념] 춘장 1/3컵 구매 설탕 1T 구매 물전분 3T 구매
36,짬뽕,https://www.10000recipe.com/recipe/6871448?srsltid=AfmBOoq0Zh5VuawcES5zmaqqcMXqeKMNcGNTbHr2AVp5sC1RhHLprH8C,[재료] 오징어 1마리 구매 돼지고기 1컵 구매 새우 원하는만큼 구매 홍합 원하는만큼 구매 파 잘게 썬 1컵 구매 다진 생강 1큰술 구매 채썬 양파 1컵 구매 채썬 양배추 1컵 구매 채썬 호박 1컵 구매 채썬 당근 1/2컵 구매 매운고추 원하는만큼 구매 부추 원하는만큼 구매 멸치다시마육수 또는 물 원하는만큼 구매 다진 마늘 선택 1큰술 구매 [양념재료] 올리브유 또는 식용유 3큰술 구매 간장 3큰술 구매 고추가루 3큰술 구매 피쉬액젓 1큰술 구매 소금 약간 구매
